Komoditas,RMSE,MAE,MAPE (%)
Beras,160.8614671510758,131.43659156976744,0.8523058037631932
Beras Kualitas Bawah I,199.13220745644372,166.5190316133721,1.1745249915804727
Beras Kualitas Bawah II,169.93169015482675,138.26894077034885,0.9861697261062086
Beras Kualitas Medium I,161.5770035860369,146.43965752180233,0.9407237059245023
Beras Kualitas Medium II,154.23129142527767,129.24795603197674,0.8347270323556285
Beras Kualitas Super I,174.18591205825098,144.10453760901163,0.8562791986664351
Beras Kualitas Super II,230.50823621781103,195.71279978197674,1.1981301471270809
Daging Ayam,1631.2854699023505,1463.5670421511627,3.988255391879384
Daging Ayam Ras Segar,1704.3732740748549,1554.4107013081396,4.253202159039778
Daging Sapi,3176.3169226298323,2872.9418604651164,2.105740525014432
Daging Sapi Kualitas 1,1113.560184012915,824.1395348837209,0.5877952578461394
Daging Sapi Kualitas 2,1075.639832206583,747.5399709302326,0.5675892776189012
Telur Ayam,859.5595314647653,760.6143713662791,2.5080976988840944
Telur Ayam Ras Segar,804.7547477598047,708.839480377907,2.336337401340494
Bawang Merah,8738.764116521359,7338.963571947675,15.360770210463325
Bawang Merah Ukuran Sedang,7536.685415864135,6050.456304505814,12.524242460544263
Bawang Putih,3566.7891156136866,3189.2043968023254,7.206694160877312
Bawang Putih Ukuran Sedang,3565.1943609266946,3275.2720748546512,7.6637144884486075
Cabai Merah,8215.19682064186,6962.239280523256,12.580384721373553
Cabai Merah Besar,5648.323552448821,4052.8205850290697,7.408567039594681
Cabai Merah Keriting ,6602.304726747487,5276.995730377907,9.493501328000859
Cabai Rawit,9864.548912134938,7550.532249273256,11.391996725064297
Cabai Rawit Hijau,6651.575264365358,5038.981558866279,9.042325602767573
Cabai Rawit Merah,13542.352791933166,10278.98746366279,13.725921649751843
Minyak Goreng,223.00204256788962,186.44067950581396,0.8918900051754247
Minyak Goreng Curah,1239.8779167928203,1202.1559320494187,6.440567711526681
Minyak Goreng Kemasan Bermerk 1,448.1361835603257,403.5059956395349,1.8167821454033266
Minyak Goreng Kemasan Bermerk 2,278.5805356454132,236.29941860465115,1.1125318189553484
Gula Pasir,760.5508597543884,639.6265443313954,3.3537945525406987
Gula Pasir Kualitas Premium,879.5629421109836,834.3282612645348,4.229952026452934
Gula Pasir Lokal,825.8797152283705,677.9340479651163,3.6552382476633736
