Komoditas,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Mar-2026,Apr-2026,May-2026,Jun-2026,Jul-2026,Aug-2026,Sep-2026,Oct-2026,Nov-2026,Dec-2026
Beras,15977.214,15969.453,15962.684,15957.917,15955.62,15966.94,15980.129,16005.91,16004.372,16006.421,16012.017,16020.648,16031.597,16041.666
Beras Kualitas Bawah I,14699.663,14666.152,14634.056,14644.5,14646.625,14666.224,14702.948,14743.308,14735.513,14740.072,14757.253,14776.151,14798.734,14820.357
Beras Kualitas Bawah II,14492.745,14483.452,14474.747,14478.379,14483.157,14488.953,14495.6455,14503.146,14501.821,14503.452,14507.975,14512.581,14516.948,14520.815
Beras Kualitas Medium I,16171.171,16172.224,16177.719,16189.164,16207.418,16232.8125,16265.325,16318.464,16331.706,16351.271,16376.587,16406.295,16438.596,16471.514
Beras Kualitas Medium II,15890.491,15884.929,15878.283,15871.083,15863.742,15856.51,15860.623,15876.007,15871.115,15867.133,15864.532,15863.546,15864.231,15866.526
Beras Kualitas Super I,17279.531,17264.016,17260.926,17258.691,17257.668,17257.998,17272.033,17287.146,17283.36,17284.273,17287.072,17291.6,17297.516,17304.408
Beras Kualitas Super II,16782.762,16768.115,16765.42,16764.098,16764.436,16766.451,16780.928,16796.121,16793.654,16795.72,16799.742,16805.36,16812.084,16819.428
Daging Ayam,37022.52,37315.805,37530.35,37682.586,37655.42,37470.625,37267.55,37117.785,37164.79,37170.44,37143.383,37091.953,37037.906,37000.125
Daging Ayam Ras Segar,36943.812,37257.316,37493.66,37671.754,37652.29,37451.168,37222.273,37047.33,37107.164,37119.61,37092.523,37033.2,36967.86,36921.395
Daging Sapi,137121.88,137186.86,137256.03,137294.16,137321.97,137318.64,137264.89,137291.25,137327.06,137350.98,137361.78,137366.5,137367.86,137372.89
Daging Sapi Kualitas 1,140146.88,140196.9,140233.58,140244.4,140229.39,140200.23,140094.05,140147.69,140157.58,140153.83,140139.31,140120.0,140101.95,140088.4
Daging Sapi Kualitas 2,131483.11,131481.0,131460.94,131410.11,131342.73,131234.23,131060.22,130962.27,130933.055,130890.61,130837.28,130778.48,130717.914,130663.63
Telur Ayam,29951.271,29993.586,30028.586,30058.242,30052.365,29975.49,29870.957,29733.89,29735.6,29724.344,29700.53,29665.143,29623.87,29587.588
Telur Ayam Ras Segar,30081.062,30121.363,30161.96,30205.727,30219.52,30162.344,30077.182,29964.633,29974.037,29974.037,29963.217,29940.43,29910.025,29883.152
Bawang Merah,40526.082,40069.97,40184.207,40548.13,40959.562,41415.797,41922.71,42454.816,42919.125,43357.26,43748.766,44076.637,44344.027,44557.125
Bawang Merah Ukuran Sedang,40043.6,39900.973,39765.19,39873.28,40211.96,40594.613,40987.918,41360.773,41775.57,42215.33,42611.035,42968.12,43311.05,43631.83
Bawang Putih,39455.066,39290.414,39202.496,39166.203,39120.406,39027.42,38971.008,38870.066,38791.29,38727.582,38665.285,38596.383,38523.44,38454.6
Bawang Putih Ukuran Sedang,39870.23,39692.766,39622.54,39637.156,39662.36,39646.97,39691.406,39703.516,39661.367,39656.984,39667.4,39674.656,39676.562,39681.42
Cabai Merah,56605.38,58068.254,57517.75,56459.44,55553.363,55047.99,54702.28,54044.715,53287.29,52921.87,52606.816,52258.465,51916.113,51648.07
Cabai Merah Besar,51638.715,52764.63,52757.29,52325.91,51980.254,51789.117,51871.543,51725.664,51422.086,51308.44,51242.164,51146.99,51028.527,50911.117
Cabai Merah Keriting ,59145.227,57304.332,56077.082,55170.547,54445.113,53788.332,53279.61,52944.867,52563.04,52258.57,51982.223,51722.68,51482.723,51266.16
Cabai Rawit,48575.684,48609.668,49258.45,50030.81,50696.543,51287.11,51830.363,52355.54,52786.074,53184.203,53536.367,53844.16,54114.14,54350.44
Cabai Rawit Hijau,44304.562,43776.72,43902.49,44358.89,44844.97,45256.71,45625.332,45995.254,46382.734,46702.297,46992.79,47257.05,47488.547,47686.297
Cabai Rawit Merah,52067.016,52740.363,53998.74,55292.965,56407.258,57379.27,58242.31,59032.17,59697.31,60296.38,60822.953,61284.33,61688.934,62042.703
Minyak Goreng,21143.578,21150.469,21150.402,21154.857,21164.285,21189.367,21219.318,21253.8,21262.0,21272.646,21287.408,21305.312,21325.17,21343.486
Minyak Goreng Curah,18699.412,18708.09,18720.422,18736.836,18745.277,18757.982,18787.201,18808.4,18821.566,18836.73,18853.125,18869.783,18888.635,18908.623
Minyak Goreng Kemasan Bermerk 1,22504.826,22505.291,22507.66,22501.965,22509.309,22529.412,22540.957,22554.307,22558.043,22563.682,22570.85,22581.146,22591.715,22599.814
Minyak Goreng Kemasan Bermerk 2,21387.988,21382.607,21374.717,21364.314,21351.49,21336.332,21329.71,21320.887,21312.424,21302.93,21292.994,21283.217,21274.17,21266.393
Gula Pasir,18902.979,18884.79,18878.068,18872.846,18878.66,18884.83,18891.139,18897.527,18893.861,18894.744,18897.67,18902.13,18905.826,18908.727
Gula Pasir Kualitas Premium,19878.346,19869.404,19875.283,19884.836,19898.04,19914.646,19934.348,19956.879,19964.842,19978.54,19994.55,20011.965,20029.89,20047.57
Gula Pasir Lokal,18216.246,18191.758,18179.273,18168.775,18171.521,18187.197,18204.303,18222.562,18216.457,18217.332,18222.66,18231.9,18241.977,18249.95
